"","year","state_code","population","age_0_to_4","age_05_to_09","age_10_to_19","age_20_to_24","age_25_to_29","age_30_to_34","age_35_to_39","age_40_to_44","age_45_to_49","age_50_to_54","age_55_to_59","age_60_to_64","age_65_to_69","age_70_to_74","age_75_to_79","age_80_to_84","age_85_plus","female","male","married","widowed","divorced","separated","never_married_or_under_15_years_old","u_s_citizen_by_naturalization","not_a_citizen_of_the_u_s","entered_us_before_2000","entered_us_in_2000_or_later","speaks_english_less_than_very_well","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher","males_in_civilian_labor_force","females_in_civilian_labor_force","unemployed_males","unemployed_females","private_wage_and_salary_workers","government_workers","self_employed_not_incorporated","self_employed_incorporated","accommodation_and_food_services_and_arts_entertainment_and_recreation","construction","education","finance_insurance_and_real_estate","health_care_social_assistance","information","manufacturing","other_services","professional_scientific_management_and_administrative_services","public_administration","retail","transportation_warehousing_utilities_natural_resources","wholesale_trade","other","management_professional","services","sales_and_office","construction_and_extracion","maintenance_and_repair","production_transportation_and_material_moving","educational_instruction_and_library_occupations","arts_design_entertainment_sports_and_media_occupations","healthcare_practitioner_and_technical_occupations","other_2","individuals_below_poverty","individuals_above_poverty","not_determined","median_personal_earnings","median_personal_earnings_excl_0_and_neg","u_s_citizen_by_0turalization","high_school_graduate_ged_or_alter0tive_credential","fi0nce_insurance_and_real_estate","professio0l_scientific_ma0gement_and_administrative_services","transportation_warehousing_utilities_0tural_resources","ma0gement_professio0l","mainte0nce_and_repair","educatio0l_instruction_and_library_occupations","median_perso0l_earnings","median_perso0l_earnings_excl_0_and_neg","occupied_housing_units","total_number_of_family_households","family_households_in_poverty","family_households_not_in_poverty","owner_occupied_units","renter_occupied_units","under_20_percent_of_hh_income","x20_to_25_percent_of_hh_income","x25_to_30_percent_of_hh_income","x30_to_35_percent_of_hh_income","x35_percent_of_hh_income","under_15_percent_of_hh_income","x15_to_20_percent_of_hh_income","x20_to_25_percent_of_hh_income_2","x25_to_30_percent_of_hh_income_2","x30_to_35_percent_of_hh_income_2","x35_percent","crowded_units","median_household_income","x85_plus","poulation"
"1",2005,1,2030,78,172,242,0,279,333,238,365,323,0,0,0,0,0,0,0,0,961,1069,1452,0,0,0,578,274,1756,916,1114,784,0,616,82,840,745,508,0,0,700,155,705,0,225,0,155,301,61,0,82,238,398,0,100,0,0,0,857,623,161,0,238,0,69,82,0,0,0,2030,0,15000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030
"2",2005,2,88,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,88,0,88,0,0,88,0,0,88,0,0,0,0,0,0,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,88,0,50800,50800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
"3",2005,4,1288,0,0,0,67,190,255,0,61,61,90,359,135,70,0,0,0,0,842,446,1046,0,165,0,77,1029,259,1193,95,322,0,177,156,888,259,272,0,0,721,315,95,0,0,0,183,62,282,0,81,0,210,70,243,0,0,0,395,0,367,0,0,0,183,61,282,0,419,869,0,20000,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288
"4",2005,5,861,0,116,0,0,0,98,0,385,156,106,0,0,0,0,0,0,0,254,607,745,0,0,0,116,0,861,861,0,0,0,0,262,483,491,254,0,0,745,0,0,0,0,0,98,0,156,0,491,0,0,0,0,0,0,0,222,156,385,0,0,0,98,0,0,0,0,861,0,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861
"5",2005,6,25111,305,1039,2920,1910,2788,4239,2857,3152,2043,751,1191,331,496,61,456,257,315,15902,9209,12133,1212,2047,1243,8476,8698,16413,16539,8572,7182,1450,3457,5337,8693,6047,8856,187,956,11001,2502,3381,576,2506,880,1590,1186,1796,917,944,2396,1657,738,1109,1523,218,130,9966,4154,4484,673,64,2708,1289,921,702,150,3044,22067,0,13000,20960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25111
"6",2005,8,1339,0,84,0,0,372,83,207,141,304,62,0,86,0,0,0,0,0,687,652,883,0,0,0,456,0,1339,652,687,547,0,230,436,589,489,550,0,0,1169,0,0,86,301,0,0,263,83,0,0,146,228,0,155,79,0,0,249,613,332,0,0,0,83,62,0,0,474,865,0,8700,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339
"7",2005,9,14021,0,333,1309,2153,2771,1779,2845,1133,976,501,154,0,67,0,0,0,0,6537,7484,7537,0,826,0,5658,2415,11606,4773,9248,10274,2832,3954,1769,1671,6474,4598,498,0,9410,0,1865,1106,735,4261,138,200,267,178,1063,1806,2946,0,787,0,0,0,2489,4941,1172,4004,286,878,77,174,0,0,1768,12253,0,16000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14021
"8",2005,10,296,0,0,0,104,0,110,0,0,0,0,82,0,0,0,0,0,0,296,0,192,0,0,0,104,0,296,82,214,214,0,110,0,82,0,186,0,0,214,0,82,0,0,0,0,0,104,0,110,0,82,0,0,0,0,0,0,104,110,0,0,0,82,0,0,0,104,192,0,5500,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
"9",2005,11,443,0,0,0,0,0,73,0,0,0,0,295,0,75,0,0,0,0,217,226,443,0,0,0,0,0,443,328,115,236,0,0,0,443,226,129,0,0,148,207,0,0,0,0,0,92,0,0,0,0,148,115,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,443,0,95000,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443
"10",2005,12,57175,183,1071,6693,5945,4472,6269,8645,8562,6592,3396,1549,1348,1461,488,301,200,0,30379,26796,28495,1027,7387,1752,18514,14744,42431,38377,18798,28931,4962,13438,9735,15148,20492,15304,699,1013,29452,1880,6869,4674,4678,5461,2201,3883,2055,982,2317,5579,6021,566,5002,2000,2191,406,21235,10535,11608,5246,810,3783,1485,1397,471,406,8086,48744,345,16800,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57175
