"","fips","year","population"
"1",1,2005,2030
"2",2,2005,88
"3",4,2005,1288
"4",5,2005,861
"5",6,2005,25111
"6",8,2005,1339
"7",9,2005,14021
"8",10,2005,296
"9",11,2005,443
"10",12,2005,57175
"11",13,2005,14326
"12",15,2005,1104
"13",16,2005,82
"14",17,2005,3537
"15",18,2005,904
"16",19,2005,428
"17",20,2005,479
"18",21,2005,63
"19",22,2005,407
"20",23,2005,2017
"21",24,2005,7510
"22",25,2005,88547
"23",26,2005,2159
"24",27,2005,877
"25",28,2005,375
"26",29,2005,1067
"27",30,2005,146
"28",32,2005,940
"29",33,2005,2627
"30",34,2005,33514
"31",35,2005,216
"32",36,2005,26003
"33",37,2005,2026
"34",39,2005,2588
"35",40,2005,3410
"36",41,2005,571
"37",42,2005,7019
"38",44,2005,1143
"39",45,2005,2339
"40",47,2005,1355
"41",48,2005,7921
"42",49,2005,2904
"43",51,2005,6471
"44",53,2005,2505
"45",55,2005,804
"46",1,2006,1370
"47",4,2006,1435
"48",5,2006,139
"49",6,2006,31903
"50",8,2006,1250
"51",9,2006,18264
"52",10,2006,612
"53",11,2006,460
"54",12,2006,66657
"55",13,2006,14295
"56",15,2006,488
"57",16,2006,161
"58",17,2006,5079
"59",18,2006,1499
"60",19,2006,1872
"61",20,2006,585
"62",21,2006,385
"63",22,2006,506
"64",23,2006,242
"65",24,2006,7135
"66",25,2006,75809
"67",26,2006,2845
"68",27,2006,1400
"69",28,2006,17
"70",29,2006,657
"71",30,2006,248
"72",31,2006,647
"73",32,2006,887
"74",33,2006,2180
"75",34,2006,38685
"76",35,2006,581
"77",36,2006,22317
"78",37,2006,3115
"79",39,2006,1894
"80",40,2006,530
"81",41,2006,1749
"82",42,2006,4746
"83",44,2006,2627
"84",45,2006,1966
"85",46,2006,48
"86",47,2006,953
"87",48,2006,11292
"88",49,2006,2867
"89",50,2006,108
"90",51,2006,7458
"91",53,2006,2282
"92",54,2006,279
"93",55,2006,453
"94",1,2007,510
"95",2,2007,156
"96",4,2007,1592
"97",5,2007,130
"98",6,2007,31886
"99",8,2007,1251
"100",9,2007,17859
"101",10,2007,683
"102",11,2007,1540
"103",12,2007,77123
"104",13,2007,13995
"105",15,2007,680
"106",16,2007,260
"107",17,2007,4221
"108",18,2007,1886
"109",19,2007,152
"110",20,2007,505
"111",21,2007,986
"112",22,2007,3360
"113",23,2007,139
"114",24,2007,6335
"115",25,2007,67903
"116",26,2007,2727
"117",27,2007,1595
"118",28,2007,664
"119",29,2007,1010
"120",30,2007,112
"121",31,2007,234
"122",32,2007,2826
"123",33,2007,1543
"124",34,2007,37336
"125",35,2007,221
"126",36,2007,24927
"127",37,2007,2838
"128",38,2007,69
"129",39,2007,1726
"130",40,2007,1098
"131",41,2007,1359
"132",42,2007,7349
"133",44,2007,1664
