,time,rate,education_level,population
1,2005,0.7568525,Less_than_high,6054
2,2005,0.7568525,High_school,10715
3,2005,0.7568525,Some_col,3954
4,2005,0.7568525,Bachelor_or_higher,5220
5,2006,0.8290397,Less_than_high,10000
6,2006,0.8290397,High_school,9735
7,2006,0.8290397,Some_col,6498
8,2006,0.8290397,Bachelor_or_higher,4402
9,2007,0.8042762,Less_than_high,9876
10,2007,0.8042762,High_school,9328
11,2007,0.8042762,Some_col,6426
12,2007,0.8042762,Bachelor_or_higher,4902
13,2008,0.8585256,Less_than_high,5561
14,2008,0.8585256,High_school,7298
15,2008,0.8585256,Some_col,4738
16,2008,0.8585256,Bachelor_or_higher,5504
17,2009,0.7963378,Less_than_high,6148
18,2009,0.7963378,High_school,11723
19,2009,0.7963378,Some_col,5510
20,2009,0.7963378,Bachelor_or_higher,5812
21,2010,0.8044007,Less_than_high,5654
22,2010,0.8044007,High_school,13345
23,2010,0.8044007,Some_col,4266
24,2010,0.8044007,Bachelor_or_higher,4747
25,2011,0.8139294,Less_than_high,6475
26,2011,0.8139294,High_school,9277
27,2011,0.8139294,Some_col,5100
28,2011,0.8139294,Bachelor_or_higher,5262
29,2012,0.7192686,Less_than_high,6067
30,2012,0.7192686,High_school,8700
31,2012,0.7192686,Some_col,4105
32,2012,0.7192686,Bachelor_or_higher,4682
33,2013,0.8307378,Less_than_high,4991
34,2013,0.8307378,High_school,10712
35,2013,0.8307378,Some_col,6564
36,2013,0.8307378,Bachelor_or_higher,4511
37,2014,0.8147083,Less_than_high,4757
38,2014,0.8147083,High_school,11963
39,2014,0.8147083,Some_col,4267
40,2014,0.8147083,Bachelor_or_higher,5395
41,2015,0.7720994,Less_than_high,3453
42,2015,0.7720994,High_school,8669
43,2015,0.7720994,Some_col,4755
44,2015,0.7720994,Bachelor_or_higher,7163
45,2016,0.7351304,Less_than_high,3575
46,2016,0.7351304,High_school,9119
47,2016,0.7351304,Some_col,5522
48,2016,0.7351304,Bachelor_or_higher,6316
49,2017,0.8206936,Less_than_high,2783
50,2017,0.8206936,High_school,10348
51,2017,0.8206936,Some_col,4218
52,2017,0.8206936,Bachelor_or_higher,7868
53,2018,0.7953326,Less_than_high,2734
54,2018,0.7953326,High_school,11398
55,2018,0.7953326,Some_col,6964
56,2018,0.7953326,Bachelor_or_higher,9645
57,2019,0.791347,Less_than_high,3328
58,2019,0.791347,High_school,15452
59,2019,0.791347,Some_col,6075
60,2019,0.791347,Bachelor_or_higher,8639
