"","year","state_code","age_0_to_4","age_05_to_09","age_10_to_19","age_20_to_24","age_25_to_29","age_30_to_34","age_35_to_39","age_40_to_44","age_45_to_49","age_50_to_54","age_55_to_59","age_60_to_64","age_65_to_69","age_70_to_74","age_75_to_79","age_80_to_84","age_85_plus"
"1",2005,1,78,172,242,0,279,333,238,365,323,0,0,0,0,0,0,0,0
"2",2005,2,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0
"3",2005,4,0,0,0,67,190,255,0,61,61,90,359,135,70,0,0,0,0
"4",2005,5,0,116,0,0,0,98,0,385,156,106,0,0,0,0,0,0,0
"5",2005,6,305,1039,2920,1910,2788,4239,2857,3152,2043,751,1191,331,496,61,456,257,315
"6",2005,8,0,84,0,0,372,83,207,141,304,62,0,86,0,0,0,0,0
"7",2005,9,0,333,1309,2153,2771,1779,2845,1133,976,501,154,0,67,0,0,0,0
"8",2005,10,0,0,0,104,0,110,0,0,0,0,82,0,0,0,0,0,0
"9",2005,11,0,0,0,0,0,73,0,0,0,0,295,0,75,0,0,0,0
"10",2005,12,183,1071,6693,5945,4472,6269,8645,8562,6592,3396,1549,1348,1461,488,301,200,0
"11",2005,13,0,1341,1304,1891,2329,2209,1471,1465,264,529,706,717,100,0,0,0,0
"12",2005,15,0,69,0,62,174,305,137,26,0,0,28,0,0,0,0,303,0
"13",2005,16,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2005,17,0,69,518,0,175,81,163,307,538,547,252,738,0,79,70,0,0
"15",2005,18,0,0,0,143,95,83,0,352,198,33,0,0,0,0,0,0,0
"16",2005,19,0,0,0,107,99,0,0,0,222,0,0,0,0,0,0,0,0
"17",2005,20,0,0,101,0,148,0,0,0,125,0,0,0,105,0,0,0,0
"18",2005,21,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
"19",2005,22,0,0,55,0,0,55,0,86,211,0,0,0,0,0,0,0,0
"20",2005,23,0,0,545,0,534,0,0,454,91,0,0,393,0,0,0,0,0
"21",2005,24,0,484,809,153,1536,810,688,990,301,182,543,155,566,91,69,133,0
"22",2005,25,1493,1662,7942,10284,17815,14211,11985,9143,5739,2869,2506,1662,484,358,394,0,0
"23",2005,26,0,0,302,173,176,346,531,351,184,96,0,0,0,0,0,0,0
"24",2005,27,0,0,203,165,0,264,119,0,126,0,0,0,0,0,0,0,0
"25",2005,28,0,142,0,0,0,0,61,75,0,0,97,0,0,0,0,0,0
"26",2005,29,0,0,0,201,514,79,96,65,112,0,0,0,0,0,0,0,0
"27",2005,30,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0
"28",2005,32,0,0,196,65,132,64,128,201,0,0,0,0,154,0,0,0,0
"29",2005,33,0,0,393,1048,0,0,142,166,796,82,0,0,0,0,0,0,0
"30",2005,34,0,831,3363,3377,5159,3965,5772,2929,3417,1613,723,732,314,332,807,61,119
"31",2005,35,0,0,48,0,0,0,0,0,0,0,0,95,0,0,73,0,0
"32",2005,36,0,327,1777,931,4310,6203,1415,2509,3583,1307,1689,761,588,416,108,79,0
"33",2005,37,0,86,338,144,252,73,222,734,177,0,0,0,0,0,0,0,0
"34",2005,39,0,0,217,251,341,263,205,701,394,216,0,0,0,0,0,0,0
"35",2005,40,0,0,1127,0,105,0,0,1078,1017,83,0,0,0,0,0,0,0
"36",2005,41,0,0,0,120,165,0,100,106,0,80,0,0,0,0,0,0,0
"37",2005,42,0,157,748,795,1404,204,1313,654,840,170,328,282,0,0,124,0,0
"38",2005,44,0,0,0,75,0,104,198,695,71,0,0,0,0,0,0,0,0
"39",2005,45,0,0,119,577,439,307,72,519,54,64,71,0,67,50,0,0,0
"40",2005,47,0,0,0,0,823,0,0,0,109,350,0,73,0,0,0,0,0
"41",2005,48,20,283,382,831,2356,708,702,730,1023,377,110,135,67,127,70,0,0
"42",2005,49,0,182,360,154,330,252,891,384,105,0,246,0,0,0,0,0,0
"43",2005,51,87,1180,439,394,643,931,298,691,926,427,83,323,49,0,0,0,0
