"","year","state_code","u_s_citizen_by_naturalization","not_a_citizen_of_the_u_s"
"1",2005,1,274,1756
"2",2005,2,0,88
"3",2005,4,1029,259
"4",2005,5,0,861
"5",2005,6,8698,16413
"6",2005,8,0,1339
"7",2005,9,2415,11606
"8",2005,10,0,296
"9",2005,11,0,443
"10",2005,12,14744,42431
"11",2005,13,1600,12726
"12",2005,15,624,480
"13",2005,16,0,82
"14",2005,17,2538,999
"15",2005,18,498,406
"16",2005,19,123,305
"17",2005,20,28,451
"18",2005,21,0,63
"19",2005,22,266,141
"20",2005,23,545,1472
"21",2005,24,1985,5525
"22",2005,25,11809,76738
"23",2005,26,622,1537
"24",2005,27,272,605
"25",2005,28,97,278
"26",2005,29,661,406
"27",2005,30,146,0
"28",2005,32,603,337
"29",2005,33,551,2076
"30",2005,34,9825,23689
"31",2005,35,168,48
"32",2005,36,8000,18003
"33",2005,37,530,1496
"34",2005,39,666,1922
"35",2005,40,272,3138
"36",2005,41,181,390
"37",2005,42,2860,4159
"38",2005,44,145,998
"39",2005,45,188,2151
"40",2005,47,602,753
"41",2005,48,1233,6688
"42",2005,49,1460,1444
"43",2005,51,935,5536
"44",2005,53,528,1977
"45",2005,55,523,281
"46",2006,1,457,913
"47",2006,4,662,773
"48",2006,5,0,139
"49",2006,6,13158,18745
"50",2006,8,564,686
"51",2006,9,3561,14703
"52",2006,10,144,468
"53",2006,11,70,390
"54",2006,12,17304,49353
"55",2006,13,1435,12860
"56",2006,15,183,305
"57",2006,16,0,161
"58",2006,17,1588,3491
"59",2006,18,263,1236
"60",2006,19,124,1748
"61",2006,20,167,418
"62",2006,21,201,184
"63",2006,22,351,155
"64",2006,23,0,242
"65",2006,24,1507,5628
"66",2006,25,10665,65144
"67",2006,26,528,2317
"68",2006,27,479,921
"69",2006,28,0,17
"70",2006,29,106,551
"71",2006,30,248,0
"72",2006,31,609,38
"73",2006,32,639,248
"74",2006,33,182,1998
"75",2006,34,7749,30936
"76",2006,35,74,507
"77",2006,36,6421,15896
"78",2006,37,706,2409
"79",2006,39,778,1116
"80",2006,40,368,162
"81",2006,41,998,751
"82",2006,42,1371,3375
"83",2006,44,608,2019
"84",2006,45,630,1336
"85",2006,46,0,48
"86",2006,47,175,778
"87",2006,48,2835,8457
"88",2006,49,634,2233
"89",2006,50,0,108
"90",2006,51,2231,5227
"91",2006,53,819,1463
"92",2006,54,123,156
"93",2006,55,118,335
"94",2007,1,114,396
"95",2007,2,85,71
"96",2007,4,1018,574
"97",2007,5,0,130
"98",2007,6,10095,21791
"99",2007,8,494,757
"100",2007,9,3860,13999
"101",2007,10,326,357
"102",2007,11,597,943
"103",2007,12,18787,58336
"104",2007,13,1885,12110
"105",2007,15,413,267
"106",2007,16,0,260
"107",2007,17,2587,1634
"108",2007,18,195,1691
"109",2007,19,0,152
"110",2007,20,0,505
"111",2007,21,611,375
"112",2007,22,278,3082
"113",2007,23,0,139
"114",2007,24,1742,4593
"115",2007,25,8833,59070
"116",2007,26,588,2139
"117",2007,27,223,1372
"118",2007,28,664,0
"119",2007,29,541,469
"120",2007,30,112,0
"121",2007,31,119,115
"122",2007,32,975,1851
"123",2007,33,302,1241
"124",2007,34,9375,27961
"125",2007,35,150,71
"126",2007,36,8490,16437
"127",2007,37,1087,1751
"128",2007,38,0,69
"129",2007,39,414,1312
"130",2007,40,219,879
"131",2007,41,392,967
"132",2007,42,1378,5971
"133",2007,44,1071,593
"134",2007,45,968,1690
"135",2007,47,294,232
"136",2007,48,3585,6608
"137",2007,49,611,2410
"138",2007,51,883,2710
"139",2007,53,624,1031
"140",2007,54,0,363
"141",2007,55,415,0
"142",2007,56,55,0
"143",2008,1,57,416
"144",2008,2,0,138
"145",2008,4,510,828
"146",2008,5,375,538
"147",2008,6,11022,17082
"148",2008,8,566,763
"149",2008,9,2432,11594
"150",2008,11,239,236
"151",2008,12,14620,48737
"152",2008,13,2782,9431
"153",2008,15,643,748
"154",2008,16,0,484
"155",2008,17,1590,3955
"156",2008,18,265,1177
"157",2008,19,206,320
"158",2008,20,0,96
"159",2008,21,214,942
"160",2008,22,747,1531
"161",2008,23,180,92
"162",2008,24,925,3724
"163",2008,25,12899,58183
"164",2008,26,853,904
"165",2008,27,223,1005
"166",2008,28,88,0
"167",2008,29,77,1327
"168",2008,30,693,0
"169",2008,32,1364,708
"170",2008,33,1410,1981
"171",2008,34,6046,24149
"172",2008,35,370,110
"173",2008,36,9033,21431
"174",2008,37,1693,3061
"175",2008,39,870,2467
"176",2008,40,254,908
"177",2008,41,769,956
"178",2008,42,2398,5858
"179",2008,44,605,947
"180",2008,45,547,2867
"181",2008,46,0,152
"182",2008,47,709,1455
"183",2008,48,4128,8691
"184",2008,49,1108,2583
"185",2008,50,193,40
"186",2008,51,1481,2149
"187",2008,53,845,2808
"188",2008,55,192,741
"189",2009,1,164,639
"190",2009,2,184,297
"191",2009,4,540,1258
"192",2009,5,137,99
"193",2009,6,10689,17784
"194",2009,8,335,2457
"195",2009,9,2282,14324
"196",2009,11,97,665
"197",2009,12,22069,54118
"198",2009,13,3020,10977
"199",2009,15,165,861
"200",2009,16,98,112
"201",2009,17,1837,1474
"202",2009,18,238,1148
"203",2009,19,175,544
"204",2009,20,58,1040
"205",2009,21,149,963
"206",2009,22,366,3672
"207",2009,23,218,98
"208",2009,24,1685,6199
"209",2009,25,12189,57313
"210",2009,26,528,2199
"211",2009,27,442,1801
"212",2009,28,0,45
"213",2009,29,280,1102
"214",2009,30,0,50
"215",2009,31,62,790
"216",2009,32,1008,297
"217",2009,33,454,4580
"218",2009,34,7617,26715
"219",2009,35,0,321
"220",2009,36,7795,17632
"221",2009,37,1461,3802
"222",2009,39,589,2251
"223",2009,40,71,171
"224",2009,41,565,327
"225",2009,42,1038,8053
"226",2009,44,513,201
"227",2009,45,789,1352
"228",2009,46,0,49
"229",2009,47,251,437
"230",2009,48,3523,11551
"231",2009,49,1064,1443
"232",2009,50,0,42
"233",2009,51,1669,4050
"234",2009,53,775,3130
"235",2009,54,145,263
"236",2009,55,118,383
"237",2010,1,789,1403
"238",2010,2,99,0
"239",2010,4,533,1204
"240",2010,5,175,1588
"241",2010,6,12194,19435
"242",2010,8,447,1146
"243",2010,9,3076,14682
"244",2010,10,389,403
