"","year","state_code","median_personal_earnings","median_personal_earnings_excl_0_and_neg"
"1",2005,1,15000,40000
"2",2005,2,50800,50800
"3",2005,4,20000,27000
"4",2005,5,50000,50000
"5",2005,6,13000,20960
"6",2005,8,8700,15000
"7",2005,9,16000,20000
"8",2005,10,5500,7000
"9",2005,11,95000,95000
"10",2005,12,16800,24000
"11",2005,13,13000,25000
"12",2005,15,15900,15900
"13",2005,16,1200,1200
"14",2005,17,30000,32000
"15",2005,18,18000,18000
"16",2005,19,26200,26200
"17",2005,20,5000,5000
"18",2005,21,23000,23000
"19",2005,22,75000,75000
"20",2005,23,26000,26000
"21",2005,24,20000,27400
"22",2005,25,19800,22800
"23",2005,26,8500,18000
"24",2005,27,6400,7400
"25",2005,28,0,28000
"26",2005,29,7000,20000
"27",2005,30,70000,70000
"28",2005,32,9600,9600
"29",2005,33,19000,19000
"30",2005,34,16000,24000
"31",2005,35,5400,5400
"32",2005,36,16200,23800
"33",2005,37,6400,34500
"34",2005,39,24900,29000
"35",2005,40,29000,40100
"36",2005,41,19000,19000
"37",2005,42,10400,16000
"38",2005,44,24000,24000
"39",2005,45,22000,24000
"40",2005,47,33000,33000
"41",2005,48,15000,20000
"42",2005,49,13200,18000
"43",2005,51,11100,22700
"44",2005,53,16800,24000
"45",2005,55,0,12000
"46",2006,1,0,59000
"47",2006,4,18100,37000
"48",2006,5,50000,50000
"49",2006,6,20000,27100
"50",2006,8,18000,18000
"51",2006,9,20000,25000
"52",2006,10,44000,44000
"53",2006,11,20000,26700
"54",2006,12,16000,24000
"55",2006,13,15000,21400
"56",2006,15,12000,12000
"57",2006,16,0,20000
"58",2006,17,18100,30000
"59",2006,18,40000,50000
"60",2006,19,2400,2400
"61",2006,20,0,4100
"62",2006,21,22000,22000
"63",2006,22,16550,16550
"64",2006,23,35000,35000
"65",2006,24,15600,22000
"66",2006,25,19000,20800
"67",2006,26,7300,16000
"68",2006,27,8000,8000
"69",2006,28,620,620
"70",2006,29,2700,18000
"71",2006,30,75000,75000
"72",2006,31,6600,7700
"73",2006,32,27000,27000
"74",2006,33,18000,20000
"75",2006,34,18200,24000
"76",2006,35,6300,18000
"77",2006,36,19400,25000
"78",2006,37,25000,28000
"79",2006,39,5000,12000
"80",2006,40,5000,10000
"81",2006,41,18200,20000
"82",2006,42,15600,16000
"83",2006,44,37000,37000
"84",2006,45,24500,25000
"85",2006,46,20800,20800
"86",2006,47,1900,30000
"87",2006,48,12600,25000
"88",2006,49,13000,22000
"89",2006,50,3100,3100
"90",2006,51,16600,30000
"91",2006,53,8000,21850
"92",2006,54,10000,21000
"93",2006,55,19070,19070
"94",2007,1,33600,33600
"95",2007,2,1700,1700
"96",2007,4,21000,21000
"97",2007,5,-19999,3000
"98",2007,6,21600,26300
"99",2007,8,34500,49000
"100",2007,9,20000,23700
"101",2007,10,1900,35000
"102",2007,11,32000,33600
"103",2007,12,18000,22000
"104",2007,13,19100,25000
"105",2007,15,20800,25000
"106",2007,16,16000,16000
"107",2007,17,18000,36000
"108",2007,18,30000,38020
"109",2007,19,24000,24000
"110",2007,20,12000,12000
"111",2007,21,36900,36900
"112",2007,22,20000,20000
"113",2007,23,21600,21600
"114",2007,24,15000,31000
"115",2007,25,19000,21000
"116",2007,26,3900,12000
"117",2007,27,5000,35000
"118",2007,28,20000,20000
"119",2007,29,52000,52000
"120",2007,30,0,0
"121",2007,31,16500,16500
"122",2007,32,35000,35000
