"","year","state_code","accommodation_and_food_services_and_arts_entertainment_and_recreation","construction","education","finance_insurance_and_real_estate","health_care_social_assistance","information","manufacturing","other_services","professional_scientific_management_and_administrative_services","public_administration","retail","transportation_warehousing_utilities_natural_resources","wholesale_trade","other"
"1",2005,1,225,0,155,301,61,0,82,238,398,0,100,0,0,0
"2",2005,2,0,88,0,0,0,0,0,0,0,0,0,0,0,0
"3",2005,4,0,0,183,62,282,0,81,0,210,70,243,0,0,0
"4",2005,5,0,0,98,0,156,0,491,0,0,0,0,0,0,0
"5",2005,6,2506,880,1590,1186,1796,917,944,2396,1657,738,1109,1523,218,130
"6",2005,8,301,0,0,263,83,0,0,146,228,0,155,79,0,0
"7",2005,9,735,4261,138,200,267,178,1063,1806,2946,0,787,0,0,0
"8",2005,10,0,0,0,0,104,0,110,0,82,0,0,0,0,0
"9",2005,11,0,0,0,92,0,0,0,0,148,115,0,0,0,0
"10",2005,12,4678,5461,2201,3883,2055,982,2317,5579,6021,566,5002,2000,2191,406
"11",2005,13,377,2741,602,774,310,235,851,1778,1542,192,816,143,0,0
"12",2005,15,153,73,0,28,0,0,79,26,0,0,196,68,0,0
"13",2005,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2005,17,0,0,434,429,805,0,82,466,0,224,172,239,0,0
"15",2005,18,267,0,83,228,0,0,198,0,33,0,95,0,0,0
"16",2005,19,0,0,0,0,123,0,99,0,99,0,0,0,0,0
"17",2005,20,0,0,0,0,105,28,0,125,75,0,0,120,0,0
"18",2005,21,0,0,63,0,0,0,0,0,0,0,0,0,0,0
"19",2005,22,55,0,0,0,0,0,0,0,0,211,0,86,0,0
"20",2005,23,1170,454,0,0,0,0,0,0,393,0,0,0,0,0
"21",2005,24,299,638,695,420,135,146,0,763,858,663,626,116,122,0
"22",2005,25,16818,10934,2704,1844,7174,1018,6466,7438,11442,188,5822,2105,2152,608
"23",2005,26,172,0,372,183,0,0,534,0,333,0,180,0,82,0
"24",2005,27,0,0,0,126,0,0,230,165,153,0,0,0,0,0
"25",2005,28,0,0,61,0,0,0,0,0,75,0,0,0,0,0
"26",2005,29,82,205,65,0,96,0,0,236,0,0,152,0,0,0
"27",2005,30,0,0,0,0,0,0,146,0,0,0,0,0,0,0
"28",2005,32,261,0,0,0,249,0,0,128,201,101,0,0,0,0
"29",2005,33,1458,0,142,0,88,0,243,0,620,0,0,0,0,0
"30",2005,34,2657,9686,794,1030,813,138,1395,3449,2725,296,1747,851,527,325
"31",2005,35,0,0,95,0,0,0,0,0,0,0,0,0,0,0
"32",2005,36,2738,4051,1423,1741,1445,307,351,3117,1763,435,945,1232,391,142
"33",2005,37,129,245,91,0,0,0,685,0,151,0,81,0,0,0
"34",2005,39,76,195,257,110,407,0,351,187,393,0,83,100,212,0
"35",2005,40,1078,0,83,1122,0,0,0,0,0,0,0,0,0,0
"36",2005,41,0,100,120,0,0,0,0,80,0,106,165,0,0,0
"37",2005,42,101,1222,736,0,91,133,44,697,1392,0,298,524,0,0
"38",2005,44,330,88,104,0,145,0,71,0,220,0,110,75,0,0
"39",2005,45,126,797,64,0,0,0,0,215,428,0,223,0,0,0
"40",2005,47,0,0,753,0,0,0,0,0,179,0,423,0,0,0
"41",2005,48,659,0,850,938,169,146,255,370,1116,72,362,773,205,0
"42",2005,49,254,0,225,0,174,187,413,246,233,0,427,113,0,0
"43",2005,51,489,1364,270,370,286,93,0,768,307,220,139,104,0,0
"44",2005,53,272,0,167,0,351,72,0,79,897,98,72,0,0,0
"45",2005,55,0,0,0,0,0,0,41,0,162,0,144,0,0,0
"46",2006,1,0,0,45,0,25,0,348,0,0,0,28,0,0,0
"47",2006,4,123,0,59,65,182,0,244,0,160,0,0,0,0,0
"48",2006,5,0,0,0,0,0,0,139,0,0,0,0,0,0,0
"49",2006,6,3804,724,1914,2677,2121,993,2059,2657,4035,384,1853,2458,420,0
"50",2006,8,244,0,218,104,0,0,280,168,0,87,0,0,0,0
"51",2006,9,2752,4855,288,461,1047,159,335,2213,2060,119,951,0,80,48
"52",2006,10,0,150,0,248,0,0,0,0,144,0,0,70,0,0
"53",2006,11,68,0,0,0,0,0,0,0,233,89,0,0,0,0
"54",2006,12,4168,10669,2884,5454,2293,1378,2480,6124,6183,442,5769,2325,2916,295
"55",2006,13,1059,3286,498,446,469,89,633,839,1670,441,552,355,286,0
"56",2006,15,112,0,22,0,185,0,0,0,169,0,0,0,0,0
"57",2006,16,0,0,70,0,0,0,0,0,0,0,0,0,0,0
"58",2006,17,604,263,552,223,487,0,200,84,318,0,314,244,284,118
"59",2006,18,69,0,106,0,0,0,683,0,92,0,85,21,0,0
"60",2006,19,117,0,270,116,0,717,0,0,379,0,110,0,0,0
"61",2006,20,0,0,103,63,0,0,0,0,0,0,163,0,0,0
"62",2006,21,121,0,0,0,0,80,77,0,107,0,0,0,0,0
"63",2006,22,0,16,0,0,0,0,0,93,0,0,62,0,0,0
"64",2006,23,0,0,0,0,0,0,0,0,242,0,0,0,0,0
"65",2006,24,212,795,272,343,427,224,0,1485,457,334,192,0,103,0
"66",2006,25,16977,13949,1330,2751,2508,389,4858,7802,7873,322,4776,1722,76,0
"67",2006,26,0,0,0,0,255,0,487,312,391,0,305,0,161,235
"68",2006,27,77,70,426,99,135,0,106,0,391,0,66,0,0,0
"69",2006,28,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"70",2006,29,92,0,0,0,0,0,0,89,129,0,122,0,0,0
"71",2006,30,0,0,0,0,0,0,248,0,0,0,0,0,0,0
"72",2006,31,174,0,0,0,0,0,101,0,0,0,0,0,0,0
"73",2006,32,128,125,127,0,59,0,0,0,58,0,74,62,68,0
"74",2006,33,743,0,59,0,0,0,360,0,323,0,593,0,0,0
"75",2006,34,2712,9826,852,1074,1744,784,1883,5480,3769,718,2050,1361,397,292
"76",2006,35,0,264,0,0,0,0,0,243,0,0,0,0,0,0
"77",2006,36,2903,2178,636,1639,1096,488,1169,3355,1540,618,1174,232,570,111
"78",2006,37,317,222,384,62,342,0,486,142,209,43,160,180,0,0
"79",2006,39,95,0,380,113,114,0,402,0,207,0,0,170,0,0
"80",2006,40,0,0,162,0,0,0,0,0,186,0,0,0,0,0
"81",2006,41,162,0,0,0,152,0,351,302,265,0,83,0,0,0
"82",2006,42,1078,569,84,137,182,0,179,1025,196,0,695,0,0,0
"83",2006,44,526,709,0,0,159,0,127,0,579,0,186,59,62,0
"84",2006,45,376,0,166,50,60,0,216,301,92,0,93,149,132,0
"85",2006,46,0,0,0,0,0,0,0,0,0,0,0,48,0,0
"86",2006,47,128,0,48,0,0,0,203,0,252,0,0,0,0,0
"87",2006,48,479,334,1035,268,1581,444,506,1156,306,185,203,831,129,275
"88",2006,49,387,0,0,135,285,0,505,461,463,0,148,153,48,0
"89",2006,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",2006,51,987,573,231,816,130,406,109,938,524,148,279,896,0,0
"91",2006,53,0,0,257,0,0,161,0,0,790,0,427,0,0,0
"92",2006,54,123,0,0,0,0,0,0,65,91,0,0,0,0,0
"93",2006,55,118,0,19,0,133,0,0,0,0,0,116,0,0,0
"94",2007,1,0,0,0,298,0,0,0,0,0,66,15,0,0,0
"95",2007,2,0,0,0,0,0,0,0,0,0,0,0,35,0,0
"96",2007,4,0,0,56,159,0,63,249,224,147,0,122,52,0,0
