"","year","state_code","management_professional","services","sales_and_office","construction_and_extracion","maintenance_and_repair","production_transportation_and_material_moving","educational_instruction_and_library_occupations","arts_design_entertainment_sports_and_media_occupations","healthcare_practitioner_and_technical_occupations","other_2"
"1",2005,1,857,623,161,0,238,0,69,82,0,0
"2",2005,2,0,0,0,88,0,0,0,0,0,0
"3",2005,4,395,0,367,0,0,0,183,61,282,0
"4",2005,5,222,156,385,0,0,0,98,0,0,0
"5",2005,6,9966,4154,4484,673,64,2708,1289,921,702,150
"6",2005,8,249,613,332,0,0,0,83,62,0,0
"7",2005,9,2489,4941,1172,4004,286,878,77,174,0,0
"8",2005,10,0,104,110,0,0,0,82,0,0,0
"9",2005,11,443,0,0,0,0,0,0,0,0,0
"10",2005,12,21235,10535,11608,5246,810,3783,1485,1397,471,406
"11",2005,13,5069,3073,1664,2970,0,807,443,0,108,0
"12",2005,15,553,0,224,73,0,147,81,0,26,0
"13",2005,16,82,0,0,0,0,0,0,0,0,0
"14",2005,17,891,610,686,82,82,338,434,0,414,0
"15",2005,18,0,528,0,0,0,198,83,0,95,0
"16",2005,19,107,0,99,0,0,0,0,99,123,0
"17",2005,20,54,230,75,0,0,0,0,0,0,120
"18",2005,21,0,0,0,0,0,0,63,0,0,0
"19",2005,22,141,55,0,0,0,0,0,0,0,211
"20",2005,23,91,927,545,454,0,0,0,0,0,0
"21",2005,24,3026,1294,1424,638,0,64,614,386,64,0
"22",2005,25,16245,35904,10976,10546,641,10366,732,369,2160,608
"23",2005,26,933,179,483,0,0,113,451,0,0,0
"24",2005,27,593,0,284,0,0,0,0,0,0,0
"25",2005,28,300,0,0,0,0,75,0,0,0,0
"26",2005,29,231,236,237,205,0,93,65,0,0,0
"27",2005,30,0,0,0,0,0,146,0,0,0,0
"28",2005,32,77,709,154,0,0,0,0,0,0,0
"29",2005,33,159,1642,281,0,0,235,142,80,88,0
"30",2005,34,8609,6694,2466,9639,746,3811,364,536,324,325
"31",2005,35,121,95,0,0,0,0,0,0,0,0
"32",2005,36,10020,4799,3736,3522,49,1749,943,751,292,142
"33",2005,37,1175,156,244,144,0,103,0,204,0,0
"34",2005,39,683,384,465,195,100,0,257,186,318,0
"35",2005,40,2205,0,1122,0,0,0,83,0,0,0
"36",2005,41,226,80,165,100,0,0,0,0,0,0
"37",2005,42,2236,1329,904,488,0,1704,267,0,91,0
"38",2005,44,71,611,88,0,110,75,104,0,84,0
"39",2005,45,616,488,223,797,215,0,0,0,0,0
"40",2005,47,350,0,73,0,0,0,753,179,0,0
"41",2005,48,2975,802,2281,0,619,428,531,148,137,0
"42",2005,49,1034,428,502,0,0,630,225,85,0,0
"43",2005,51,2814,1552,302,1364,0,0,363,76,0,0
"44",2005,53,880,965,550,0,0,0,0,0,0,0
"45",2005,55,619,0,144,0,0,41,0,0,0,0
"46",2006,1,1272,0,28,0,0,0,45,0,25,0
"47",2006,4,846,123,65,0,0,67,152,0,182,0
"48",2006,5,139,0,0,0,0,0,0,0,0,0
"49",2006,6,12391,5287,5510,466,148,3812,1748,1907,441,193
"50",2006,8,533,244,87,0,0,168,218,0,0,0
"51",2006,9,3888,6229,1858,4198,178,1139,344,204,178,48
"52",2006,10,248,0,214,150,0,0,0,0,0,0
"53",2006,11,329,0,63,0,0,0,0,68,0,0
