"","year","state_code","entered_us_before_2000","entered_us_in_2000_or_later"
"1",2005,1,916,1114
"2",2005,2,0,88
"3",2005,4,1193,95
"4",2005,5,861,0
"5",2005,6,16539,8572
"6",2005,8,652,687
"7",2005,9,4773,9248
"8",2005,10,82,214
"9",2005,11,328,115
"10",2005,12,38377,18798
"11",2005,13,3993,10333
"12",2005,15,900,204
"13",2005,16,0,82
"14",2005,17,2927,610
"15",2005,18,809,95
"16",2005,19,321,107
"17",2005,20,258,221
"18",2005,21,0,63
"19",2005,22,352,55
"20",2005,23,545,1472
"21",2005,24,4772,2738
"22",2005,25,37937,50610
"23",2005,26,1277,882
"24",2005,27,601,276
"25",2005,28,97,278
"26",2005,29,240,827
"27",2005,30,146,0
"28",2005,32,743,197
"29",2005,33,551,2076
"30",2005,34,17587,15927
"31",2005,35,168,48
"32",2005,36,15058,10945
"33",2005,37,1135,891
"34",2005,39,1744,844
"35",2005,40,3410,0
"36",2005,41,451,120
"37",2005,42,2494,4525
"38",2005,44,585,558
"39",2005,45,825,1514
"40",2005,47,711,644
"41",2005,48,4467,3454
"42",2005,49,1227,1677
"43",2005,51,5414,1057
"44",2005,53,1344,1161
"45",2005,55,523,281
"46",2006,1,612,758
"47",2006,4,1051,384
"48",2006,5,0,139
"49",2006,6,21438,10465
"50",2006,8,470,780
"51",2006,9,11599,6665
"52",2006,10,533,79
"53",2006,11,152,308
"54",2006,12,35952,30705
"55",2006,13,5739,8556
"56",2006,15,278,210
"57",2006,16,70,91
"58",2006,17,3188,1891
"59",2006,18,1256,243
"60",2006,19,580,1292
"61",2006,20,63,522
"62",2006,21,308,77
"63",2006,22,506,0
"64",2006,23,242,0
"65",2006,24,3845,3290
"66",2006,25,30317,45492
"67",2006,26,1017,1828
"68",2006,27,468,932
"69",2006,28,0,17
"70",2006,29,439,218
"71",2006,30,248,0
"72",2006,31,609,38
"73",2006,32,697,190
"74",2006,33,648,1532
"75",2006,34,19517,19168
"76",2006,35,338,243
"77",2006,36,14831,7486
"78",2006,37,1697,1418
"79",2006,39,855,1039
"80",2006,40,530,0
"81",2006,41,1300,449
"82",2006,42,2119,2627
"83",2006,44,1249,1378
"84",2006,45,1071,895
"85",2006,46,48,0
"86",2006,47,609,344
"87",2006,48,4841,6451
"88",2006,49,1634,1233
"89",2006,50,69,39
"90",2006,51,4276,3182
"91",2006,53,1327,955
"92",2006,54,188,91
"93",2006,55,301,152
"94",2007,1,412,98
"95",2007,2,156,0
"96",2007,4,1392,200
"97",2007,5,0,130
"98",2007,6,22210,9676
"99",2007,8,832,419
"100",2007,9,7512,10347
"101",2007,10,340,343
"102",2007,11,1307,233
"103",2007,12,36741,40382
"104",2007,13,5984,8011
"105",2007,15,413,267
"106",2007,16,243,17
"107",2007,17,2811,1410
"108",2007,18,1020,866
"109",2007,19,0,152
"110",2007,20,138,367
"111",2007,21,403,583
"112",2007,22,568,2792
"113",2007,23,139,0
"114",2007,24,3975,2360
"115",2007,25,23061,44842
