,year,u_s_citizen_by_naturalization,not_a_citizen_of_the_u_s,us_citizen_by_naturalization,not_a_citizen_of_the_us
1,2005,274,1756,78244,252792
2,2006,457,913,81833,261144
3,2007,114,396,85455,259474
4,2008,57,416,86221,248313
5,2009,164,639,87452,269079
6,2010,789,1403,96141,248573
7,2011,0,1498,107353,226768
8,2012,0,130,117346,208150
9,2013,0,598,120878,216239
10,2014,196,745,123562,207892
11,2015,460,61,127996,224883
12,2016,0,308,147077,253830
13,2017,358,1423,161697,296516
14,2018,1617,757,184358,291201
15,2019,519,1336,172191,329997
