,year,less_than_high_school,high_school_graduate_ged_or_alternative_credential,some_college_associate_degree,bachelors_degree_or_higher
1,2005,49014,76020,50446,78248
2,2006,40506,87386,56742,81790
3,2007,45770,90925,55844,80178
4,2008,40216,80066,49780,91154
5,2009,42921,78408,65571,98489
6,2010,41661,91233,65471,93295
7,2011,37729,79494,55401,106708
8,2012,31338,81907,62667,101159
9,2013,34917,78952,68924,109504
10,2014,32267,83828,61089,105130
11,2015,32062,87257,66543,114678
12,2016,34769,88022,79658,143911
13,2017,24954,104307,80584,162816
14,2018,19933,109056,88595,171132
15,2019,29530,112019,81087,177533
