,year,accommodation_and_food_services_and_arts_entertainment_and_recreation,construction,education,finance_insurance_and_real_estate,health_care_social_assistance,information,manufacturing,other_services,professional_scientific_management_and_administrative_services,public_administration,retail,transportation_warehousing_utilities_natural_resources,wholesale_trade,other
1,2005,38466,43483,15618,15330,17770,4580,17622,30498,37480,4295,20674,10251,6100,1611
2,2006,42035,49577,13497,17344,16171,6312,19774,35334,34883,3930,21646,11336,5732,1374
3,2007,34373,59288,13047,11950,16468,5432,18603,37881,38579,2606,20068,11122,6617,1035
4,2008,35069,40674,15662,14358,20059,4207,15638,32873,45009,6414,23342,9541,4808,1124
5,2009,32059,39750,15797,13737,19432,5373,21121,43209,50075,4267,22649,11365,6902,2738
6,2010,37815,39927,16214,13803,22353,3844,18530,35732,49162,5872,17832,7740,5956,3495
7,2011,32656,30845,15337,14377,24230,4318,16524,39981,43491,4697,18633,12820,7041,3058
8,2012,30247,27147,17117,16054,22732,5540,14027,34398,43276,6529,19778,9868,7255,3323
9,2013,28584,34151,18575,14624,21947,5835,16411,31460,44004,5006,23502,13764,6832,2681
10,2014,27460,32468,15842,13803,21480,5508,20900,31311,46190,4084,20412,11830,4164,2594
11,2015,30598,32954,22002,16928,25526,4346,16348,31747,50549,4947,17897,13575,5292,2006
12,2016,29806,36973,19925,18453,31968,5919,25026,37528,48604,5172,22744,16751,7567,2487
13,2017,34621,46264,26084,21157,30928,7113,24489,37026,61925,7495,24984,17149,7286,3937
14,2018,31475,43558,26858,20347,35213,6921,25331,39609,67956,8521,24633,19604,7627,2833
15,2019,35805,54188,27612,25912,26558,6653,23738,35871,65735,7814,27801,26773,6400,2452
