"","year","widowed","divorced","separated","never_married_or_under_15_years_old"
"1",2005,4205,24630,6913,121175
"2",2006,5251,26169,7434,117338
"3",2007,7866,27647,9759,116578
"4",2008,6427,27042,8067,116279
"5",2009,6602,29799,11041,117653
"6",2010,6401,34002,9403,105546
"7",2011,6301,32478,12174,100440
"8",2012,8518,33129,11243,89672
"9",2013,8123,35138,7964,90966
"10",2014,8375,34794,7709,98877
"11",2015,9295,40113,9802,96484
"12",2016,9367,47064,12064,110079
"13",2017,10442,42812,7270,125947
"14",2018,12730,48988,7394,125406
"15",2019,11354,46001,9304,150364
