"","year","state_code","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher"
"1",2005,1,0,616,82,840
"2",2005,2,0,88,0,0
"3",2005,4,0,177,156,888
"4",2005,5,0,0,262,483
"5",2005,6,1450,3457,5337,8693
"6",2005,8,0,230,436,589
"7",2005,9,2832,3954,1769,1671
"8",2005,10,0,110,0,82
"9",2005,11,0,0,0,443
"10",2005,12,4962,13438,9735,15148
"11",2005,13,1701,1677,1393,5019
"12",2005,15,0,404,337,232
"13",2005,16,0,0,0,0
"14",2005,17,70,433,1126,1321
"15",2005,18,33,228,322,178
"16",2005,19,0,0,0,321
"17",2005,20,105,245,0,28
"18",2005,21,0,0,0,63
"19",2005,22,0,55,86,211
"20",2005,23,0,847,534,91
"21",2005,24,591,1713,1001,2759
"22",2005,25,21594,25049,10931,9592
"23",2005,26,113,329,151,1091
"24",2005,27,0,0,0,509
"25",2005,28,0,97,0,136
"26",2005,29,0,533,175,158
"27",2005,30,0,0,146,0
"28",2005,32,128,256,194,101
"29",2005,33,0,558,224,404
"30",2005,34,6054,10715,3954,5220
"31",2005,35,0,168,0,0
"32",2005,36,4904,4947,5055,8062
"33",2005,37,0,341,238,879
"34",2005,39,0,83,648,1389
"35",2005,40,0,0,0,2283
"36",2005,41,100,0,161,190
"37",2005,42,1947,1113,265,1994
"38",2005,44,220,501,84,263
"39",2005,45,592,0,817,234
"40",2005,47,0,644,423,288
"41",2005,48,219,1544,2127,2515
"42",2005,49,0,287,586,1335
"43",2005,51,1399,911,986,1075
"44",2005,53,0,231,705,1005
"45",2005,55,0,41,0,465
"46",2006,1,0,233,150,571
"47",2006,4,59,65,275,657
"48",2006,5,0,0,0,0
"49",2006,6,1525,5890,6884,13598
"50",2006,8,0,168,214,719
"51",2006,9,1941,7099,2101,2451
"52",2006,10,0,0,392,220
"53",2006,11,0,70,0,288
"54",2006,12,5261,15693,12615,17728
"55",2006,13,189,4124,1421,3578
"56",2006,15,0,98,22,368
"57",2006,16,0,0,0,161
"58",2006,17,273,223,801,2559
"59",2006,18,85,21,684,551
"60",2006,19,0,0,743,613
"61",2006,20,0,0,163,291
"62",2006,21,0,80,0,184
"63",2006,22,93,0,335,78
"64",2006,23,0,242,0,0
"65",2006,24,1691,866,898,1509
"66",2006,25,11347,27965,9689,7438
"67",2006,26,111,257,516,1249
"68",2006,27,124,143,124,710
"69",2006,28,0,0,0,0
"70",2006,29,0,129,0,89
"71",2006,30,0,0,248,0
"72",2006,31,0,0,0,207
"73",2006,32,0,268,358,67
"74",2006,33,0,680,419,779
"75",2006,34,10000,9735,6498,4402
"76",2006,35,0,0,264,0
"77",2006,36,3542,6269,4136,5978
"78",2006,37,173,340,665,906
"79",2006,39,0,130,68,920
"80",2006,40,0,0,0,348
"81",2006,41,152,91,603,375
"82",2006,42,352,1299,1446,1379
"83",2006,44,1005,505,235,464
"84",2006,45,323,358,0,1050
"85",2006,46,0,0,0,0
"86",2006,47,0,0,0,503
