"","year","state_code","private_wage_and_salary_workers","government_workers","self_employed_not_incorporated","self_employed_incorporated"
"1",2005,1,700,155,705,0
"2",2005,2,0,0,0,88
"3",2005,4,721,315,95,0
"4",2005,5,745,0,0,0
"5",2005,6,11001,2502,3381,576
"6",2005,8,1169,0,0,86
"7",2005,9,9410,0,1865,1106
"8",2005,10,214,0,82,0
"9",2005,11,148,207,0,0
"10",2005,12,29452,1880,6869,4674
"11",2005,13,7336,502,2300,135
"12",2005,15,313,0,282,0
"13",2005,16,0,0,0,0
"14",2005,17,2024,526,301,0
"15",2005,18,904,0,0,0
"16",2005,19,99,123,99,0
"17",2005,20,223,0,230,0
"18",2005,21,0,63,0,0
"19",2005,22,55,211,0,86
"20",2005,23,1472,0,0,454
"21",2005,24,3550,1121,810,0
"22",2005,25,65705,947,8021,1110
"23",2005,26,1666,190,0,0
"24",2005,27,521,0,0,153
"25",2005,28,75,61,0,0
"26",2005,29,535,65,236,0
"27",2005,30,146,0,0,0
"28",2005,32,658,154,128,0
"29",2005,33,2247,142,80,82
"30",2005,34,18917,1042,5405,744
"31",2005,35,0,95,0,0
"32",2005,36,16997,1145,1607,190
"33",2005,37,1162,91,0,129
"34",2005,39,1713,115,370,110
"35",2005,40,2095,83,105,0
"36",2005,41,365,106,100,0
"37",2005,42,4368,396,474,0
"38",2005,44,1039,104,0,0
"39",2005,45,1392,0,384,77
"40",2005,47,1246,109,0,0
"41",2005,48,4582,640,605,88
"42",2005,49,1840,225,142,65
"43",2005,51,2701,719,990,0
"44",2005,53,1562,375,71,0
"45",2005,55,185,0,162,0
"46",2006,1,373,45,0,28
"47",2006,4,774,59,0,0
"48",2006,5,139,0,0,0
"49",2006,6,18757,1999,4228,892
"50",2006,8,890,211,0,0
"51",2006,9,11591,831,2455,443
"52",2006,10,612,0,0,0
"53",2006,11,63,191,136,0
"54",2006,12,36547,2408,7243,6341
"55",2006,13,8409,751,1463,0
"56",2006,15,417,0,71,0
"57",2006,16,0,70,0,0
"58",2006,17,2814,354,271,134
"59",2006,18,858,106,0,92
"60",2006,19,1530,179,0,0
"61",2006,20,226,103,0,0
"62",2006,21,264,0,121,0
"63",2006,22,78,0,93,0
"64",2006,23,242,0,0,0
"65",2006,24,2979,799,971,95
"66",2006,25,55416,1138,7013,1544
"67",2006,26,1847,0,64,0
"68",2006,27,1132,0,238,0
"69",2006,28,0,0,0,0
"70",2006,29,303,0,129,0
"71",2006,30,248,0,0,0
"72",2006,31,275,0,0,0
"73",2006,32,512,127,62,0
"74",2006,33,2019,59,0,0
"75",2006,34,25272,1173,4202,1823
"76",2006,35,507,0,0,0
"77",2006,36,13101,1014,2349,1134
"78",2006,37,1855,427,0,265
"79",2006,39,941,436,0,104
"80",2006,40,0,162,186,0
"81",2006,41,1185,0,0,130
"82",2006,42,3009,0,890,246
"83",2006,44,2147,0,260,0
"84",2006,45,1432,166,0,37
"85",2006,46,0,0,0,0
"86",2006,47,506,48,77,0
"87",2006,48,4860,1218,1327,52
"88",2006,49,2217,0,294,74
"89",2006,50,0,0,0,0
"90",2006,51,4651,384,1002,0
"91",2006,53,1180,194,183,78
"92",2006,54,214,0,65,0
"93",2006,55,386,0,0,0
"94",2007,1,298,66,15,0
"95",2007,2,0,0,35,0
"96",2007,4,789,56,87,140
"97",2007,5,57,0,0,0
"98",2007,6,18348,2293,4332,977
"99",2007,8,924,57,0,0
"100",2007,9,10514,251,3220,620
"101",2007,10,328,117,0,0
"102",2007,11,531,270,248,0
"103",2007,12,45133,1729,10557,4735
"104",2007,13,6465,606,2838,531
"105",2007,15,45,0,180,200
"106",2007,16,127,116,0,0
"107",2007,17,2200,110,813,78
"108",2007,18,1179,138,0,103
"109",2007,19,0,0,0,0
"110",2007,20,224,138,0,0
"111",2007,21,652,334,0,0
"112",2007,22,2476,130,482,272
"113",2007,23,139,0,0,0
"114",2007,24,2696,252,601,795
"115",2007,25,45864,1081,8912,1787
"116",2007,26,1087,0,736,54
"117",2007,27,1352,125,0,0
"118",2007,28,395,0,0,0
"119",2007,29,816,130,0,0
"120",2007,30,0,0,0,0
"121",2007,31,119,115,0,0
"122",2007,32,1679,142,405,0
"123",2007,33,1402,0,0,0
"124",2007,34,24029,507,3765,1573
"125",2007,35,150,0,0,0
"126",2007,36,15412,933,2526,396
"127",2007,37,1429,280,472,0
"128",2007,38,69,0,0,0
"129",2007,39,1053,0,0,237
"130",2007,40,246,209,35,0
"131",2007,41,486,180,151,51
"132",2007,42,4051,0,2147,0
"133",2007,44,628,235,181,0
"134",2007,45,865,358,0,0
"135",2007,47,426,0,0,0
"136",2007,48,5779,272,669,270
"137",2007,49,1901,148,0,147
"138",2007,51,1697,674,453,246
"139",2007,53,1043,147,0,108
"140",2007,54,167,0,0,0
"141",2007,55,165,116,0,0
"142",2007,56,55,0,0,0
"143",2008,1,176,0,0,0
"144",2008,2,0,138,0,0
"145",2008,4,466,317,206,68
"146",2008,5,314,72,0,0
"147",2008,6,13662,2362,5793,377
"148",2008,8,612,371,324,0
"149",2008,9,9433,209,1596,641
"150",2008,11,402,0,73,0
"151",2008,12,35038,1989,9699,5332
"152",2008,13,5252,756,2725,529
"153",2008,15,535,91,102,0
"154",2008,16,0,0,0,0
"155",2008,17,3934,679,210,98
"156",2008,18,173,1192,0,0
"157",2008,19,526,0,0,0
"158",2008,20,63,0,0,0
"159",2008,21,712,0,0,0
"160",2008,22,1091,484,223,231
"161",2008,23,144,0,0,0
"162",2008,24,1757,1085,439,282
"163",2008,25,45763,1907,8607,2867
"164",2008,26,1201,0,0,79
"165",2008,27,1082,111,0,0
"166",2008,28,0,0,0,0
"167",2008,29,858,107,101,0
"168",2008,30,693,0,0,0
"169",2008,32,801,198,401,157
"170",2008,33,2669,0,424,0
"171",2008,34,19914,572,3454,662
"172",2008,35,370,110,0,0
"173",2008,36,15341,942,5045,1164
"174",2008,37,2467,730,608,145
"175",2008,39,2100,415,331,0
"176",2008,40,589,195,0,0
"177",2008,41,1032,197,188,0
"178",2008,42,3942,99,1122,93
"179",2008,44,1067,65,0,0
"180",2008,45,2091,51,536,0
"181",2008,46,152,0,0,0
"182",2008,47,1476,102,0,0
"183",2008,48,6001,1073,599,351
"184",2008,49,2093,413,891,0
"185",2008,50,40,0,193,0
"186",2008,51,1747,535,503,0
"187",2008,53,1252,110,1483,0
"188",2008,55,755,178,0,0
"189",2009,1,120,148,88,0
"190",2009,2,0,88,96,0
"191",2009,4,569,77,165,0
"192",2009,5,0,99,0,0
"193",2009,6,14645,1732,3674,325
"194",2009,8,1624,0,636,0
"195",2009,9,9138,417,1667,1100
"196",2009,11,97,665,0,0
"197",2009,12,41842,2110,7574,6119
"198",2009,13,4876,913,4147,427
"199",2009,15,861,102,0,0
"200",2009,16,210,0,0,0
"201",2009,17,1982,119,426,262
"202",2009,18,1039,64,0,0
"203",2009,19,115,0,234,0
"204",2009,20,632,0,329,0
"205",2009,21,1033,0,0,0
"206",2009,22,1765,77,960,116
"207",2009,23,228,0,0,0
"208",2009,24,4457,937,1290,252
"209",2009,25,45080,2058,13818,384
"210",2009,26,1527,91,92,0
"211",2009,27,1764,117,0,67
"212",2009,28,45,0,0,0
"213",2009,29,972,133,0,0
"214",2009,30,50,0,0,0
"215",2009,31,373,149,330,0
"216",2009,32,883,0,185,129
"217",2009,33,3312,92,486,269
"218",2009,34,19724,387,7361,1199
"219",2009,35,0,321,0,0
"220",2009,36,16469,158,3461,754
"221",2009,37,1743,335,1395,376
"222",2009,39,1430,310,106,0
"223",2009,40,171,0,0,0
"224",2009,41,399,98,171,0
"225",2009,42,5588,112,634,208
"226",2009,44,415,0,74,164
"227",2009,45,1909,90,53,0
"228",2009,46,49,0,0,0
"229",2009,47,455,0,180,0
"230",2009,48,9074,1095,2219,80
"231",2009,49,1549,0,85,226
"232",2009,50,42,0,0,0
"233",2009,51,2562,1013,1038,94
"234",2009,53,2664,194,144,170
"235",2009,54,135,0,145,0
"236",2009,55,415,50,0,0
"237",2010,1,1225,402,24,365
"238",2010,2,0,99,0,0
"239",2010,4,979,151,126,72
"240",2010,5,443,85,0,0
"241",2010,6,17273,2172,4086,709
"242",2010,8,825,150,348,62
"243",2010,9,8795,939,4983,452
"244",2010,10,514,96,0,0
"245",2010,11,375,111,208,0
"246",2010,12,37583,2222,8314,5035
"247",2010,13,5529,373,2155,578
"248",2010,15,785,102,129,0
"249",2010,16,227,0,141,0
"250",2010,17,2583,403,71,157
"251",2010,18,394,0,0,0
"252",2010,19,216,0,0,0
"253",2010,20,75,224,189,0
"254",2010,21,638,193,0,0
"255",2010,22,1205,138,328,310
"256",2010,23,628,0,0,0
"257",2010,24,2127,1388,1543,457
"258",2010,25,47316,1540,13936,1322
"259",2010,26,2652,440,0,0
"260",2010,27,1371,276,0,0
"261",2010,28,0,0,0,129
"262",2010,29,1164,85,0,0
"263",2010,30,266,0,0,0
"264",2010,31,107,0,0,0
"265",2010,32,718,0,191,0
"266",2010,33,503,0,52,0
"267",2010,34,19479,923,4055,1126
"268",2010,35,377,117,72,0
"269",2010,36,13492,1005,2021,1197
"270",2010,37,1424,285,914,305
"271",2010,39,697,248,140,238
"272",2010,40,389,81,0,0
"273",2010,41,174,106,0,0
"274",2010,42,4229,0,776,724
"275",2010,44,928,140,207,0
"276",2010,45,1567,0,418,70
"277",2010,47,747,81,0,0
"278",2010,48,7191,942,1637,348
"279",2010,49,2708,146,567,0
"280",2010,50,196,84,0,0
"281",2010,51,1466,812,301,81
"282",2010,53,2145,89,231,72
"283",2010,54,0,0,0,0
"284",2010,55,1107,284,0,0
"285",2011,1,1066,126,442,0
"286",2011,4,1292,50,0,71
"287",2011,5,124,165,0,0
"288",2011,6,17449,2043,3709,1310
"289",2011,8,696,598,36,0
"290",2011,9,4537,145,4801,157
"291",2011,10,1231,0,0,0
"292",2011,11,429,456,194,0
"293",2011,12,37080,2143,8519,5330
"294",2011,13,3990,50,1802,1053
"295",2011,15,455,437,0,0
"296",2011,16,0,0,0,79
"297",2011,17,2649,362,59,20
"298",2011,18,1290,203,0,0
"299",2011,19,62,131,0,0
"300",2011,20,422,0,0,0
"301",2011,21,449,0,0,0
"302",2011,22,310,0,148,0
"303",2011,23,205,0,0,0
"304",2011,24,5407,696,1509,964
"305",2011,25,40500,929,12046,1211
"306",2011,26,1181,243,402,0
"307",2011,27,1314,603,707,0
"308",2011,28,91,152,29,0
"309",2011,29,2176,0,0,0
"310",2011,30,72,0,36,0
"311",2011,31,463,197,0,0
"312",2011,32,867,32,0,199
"313",2011,33,1642,54,337,0
"314",2011,34,17068,332,5055,752
"315",2011,35,35,105,0,0
"316",2011,36,11803,920,4801,1615
"317",2011,37,2018,231,249,242
"318",2011,39,509,0,98,0
"319",2011,40,843,139,0,0
"320",2011,41,524,0,104,0
"321",2011,42,6411,119,1588,262
"322",2011,44,2105,94,369,44
"323",2011,45,748,82,415,0
"324",2011,46,0,0,0,0
"325",2011,47,737,332,55,87
"326",2011,48,7020,1277,1195,369
"327",2011,49,919,58,119,0
"328",2011,50,649,0,0,0
"329",2011,51,4074,716,1030,72
"330",2011,53,1910,162,559,41
"331",2011,54,219,131,0,0
