"","year","state_code","female","male"
"1",2005,1,961,1069
"2",2005,2,0,88
"3",2005,4,842,446
"4",2005,5,254,607
"5",2005,6,15902,9209
"6",2005,8,687,652
"7",2005,9,6537,7484
"8",2005,10,296,0
"9",2005,11,217,226
"10",2005,12,30379,26796
"11",2005,13,7421,6905
"12",2005,15,380,724
"13",2005,16,82,0
"14",2005,17,2332,1205
"15",2005,18,821,83
"16",2005,19,230,198
"17",2005,20,258,221
"18",2005,21,63,0
"19",2005,22,141,266
"20",2005,23,927,1090
"21",2005,24,4617,2893
"22",2005,25,40340,48207
"23",2005,26,1359,800
"24",2005,27,724,153
"25",2005,28,172,203
"26",2005,29,568,499
"27",2005,30,0,146
"28",2005,32,821,119
"29",2005,33,1038,1589
"30",2005,34,14767,18747
"31",2005,35,216,0
"32",2005,36,12425,13578
"33",2005,37,1542,484
"34",2005,39,1315,1273
"35",2005,40,1289,2121
"36",2005,41,245,326
"37",2005,42,3209,3810
"38",2005,44,395,748
"39",2005,45,753,1586
"40",2005,47,896,459
"41",2005,48,3407,4514
"42",2005,49,1232,1672
"43",2005,51,3307,3164
"44",2005,53,1882,623
"45",2005,55,551,253
"46",2006,1,840,530
"47",2006,4,630,805
"48",2006,5,0,139
"49",2006,6,18696,13207
"50",2006,8,721,529
"51",2006,9,8080,10184
"52",2006,10,392,220
"53",2006,11,222,238
"54",2006,12,34266,32391
"55",2006,13,6598,7697
"56",2006,15,278,210
"57",2006,16,161,0
"58",2006,17,2785,2294
"59",2006,18,658,841
"60",2006,19,1099,773
"61",2006,20,454,131
"62",2006,21,308,77
"63",2006,22,155,351
"64",2006,23,0,242
"65",2006,24,4750,2385
"66",2006,25,33639,42170
"67",2006,26,1932,913
"68",2006,27,1034,366
"69",2006,28,17,0
"70",2006,29,251,406
"71",2006,30,0,248
"72",2006,31,212,435
"73",2006,32,420,467
"74",2006,33,595,1585
"75",2006,34,18414,20271
"76",2006,35,243,338
"77",2006,36,13430,8887
"78",2006,37,1647,1468
"79",2006,39,1019,875
"80",2006,40,181,349
"81",2006,41,1012,737
"82",2006,42,2235,2511
"83",2006,44,948,1679
"84",2006,45,1037,929
"85",2006,46,0,48
"86",2006,47,517,436
"87",2006,48,6545,4747
"88",2006,49,1686,1181
"89",2006,50,69,39
"90",2006,51,4027,3431
"91",2006,53,1412,870
"92",2006,54,156,123
"93",2006,55,434,19
"94",2007,1,164,346
"95",2007,2,121,35
"96",2007,4,996,596
"97",2007,5,73,57
"98",2007,6,16567,15319
"99",2007,8,568,683
"100",2007,9,8821,9038
"101",2007,10,158,525
"102",2007,11,933,607
"103",2007,12,40907,36216
"104",2007,13,7477,6518
"105",2007,15,538,142
"106",2007,16,127,133
"107",2007,17,2622,1599
"108",2007,18,614,1272
"109",2007,19,152,0
"110",2007,20,320,185
"111",2007,21,505,481
"112",2007,22,322,3038
"113",2007,23,139,0
"114",2007,24,3415,2920
"115",2007,25,28028,39875
"116",2007,26,1300,1427
"117",2007,27,1084,511
"118",2007,28,269,395
"119",2007,29,474,536
"120",2007,30,112,0
"121",2007,31,119,115
"122",2007,32,1940,886
"123",2007,33,1189,354
"124",2007,34,17668,19668
"125",2007,35,221,0
"126",2007,36,15592,9335
"127",2007,37,1177,1661
"128",2007,38,69,0
"129",2007,39,1384,342
"130",2007,40,564,534
"131",2007,41,726,633
"132",2007,42,3541,3808
"133",2007,44,1323,341
"134",2007,45,741,1917
"135",2007,47,301,225
"136",2007,48,5689,4504
"137",2007,49,2131,890
"138",2007,51,2034,1559
"139",2007,53,752,903
"140",2007,54,72,291
"141",2007,55,165,250
"142",2007,56,0,55
"143",2008,1,176,297
"144",2008,2,0,138
"145",2008,4,850,488
"146",2008,5,777,136
"147",2008,6,17190,10914
"148",2008,8,619,710
"149",2008,9,7065,6961
"150",2008,11,73,402
"151",2008,12,35302,28055
"152",2008,13,6049,6164
"153",2008,15,692,699
"154",2008,16,484,0
"155",2008,17,2551,2994
"156",2008,18,412,1030
"157",2008,19,291,235
