"","year","state_code","males_in_civilian_labor_force","females_in_civilian_labor_force"
"1",2005,1,745,508
"2",2005,2,88,0
"3",2005,4,259,272
"4",2005,5,491,254
"5",2005,6,6047,8856
"6",2005,8,489,550
"7",2005,9,6474,4598
"8",2005,10,0,186
"9",2005,11,226,129
"10",2005,12,20492,15304
"11",2005,13,6090,3575
"12",2005,15,421,174
"13",2005,16,0,0
"14",2005,17,702,1468
"15",2005,18,83,788
"16",2005,19,99,123
"17",2005,20,120,153
"18",2005,21,0,63
"19",2005,22,211,141
"20",2005,23,1090,927
"21",2005,24,1944,2843
"22",2005,25,40697,29590
"23",2005,26,595,976
"24",2005,27,126,119
"25",2005,28,61,0
"26",2005,29,380,236
"27",2005,30,146,0
"28",2005,32,119,567
"29",2005,33,1293,1038
"30",2005,34,14882,7346
"31",2005,35,0,0
"32",2005,36,10748,7293
"33",2005,37,0,822
"34",2005,39,1240,771
"35",2005,40,1078,1205
"36",2005,41,326,165
"37",2005,42,3107,1714
"38",2005,44,748,395
"39",2005,45,1400,164
"40",2005,47,459,252
"41",2005,48,3582,921
"42",2005,49,1243,532
"43",2005,51,1845,2124
"44",2005,53,371,1207
"45",2005,55,162,41
"46",2006,1,339,62
"47",2006,4,473,360
"48",2006,5,139,0
"49",2006,6,10072,10502
"50",2006,8,436,557
"51",2006,9,8859,4454
"52",2006,10,220,392
"53",2006,11,170,152
"54",2006,12,25079,21695
"55",2006,13,6410,3741
"56",2006,15,112,256
"57",2006,16,0,70
"58",2006,17,1576,1556
"59",2006,18,683,196
"60",2006,19,649,834
"61",2006,20,27,163
"62",2006,21,77,187
"63",2006,22,16,93
"64",2006,23,242,0
"65",2006,24,1558,2581
"66",2006,25,36684,23790
"67",2006,26,732,1227
"68",2006,27,366,667
"69",2006,28,0,0
"70",2006,29,181,251
"71",2006,30,248,0
"72",2006,31,101,174
"73",2006,32,387,255
"74",2006,33,1553,525
"75",2006,34,16868,12771
"76",2006,35,264,243
"77",2006,36,8093,7119
"78",2006,37,1222,1066
"79",2006,39,525,285
"80",2006,40,265,0
"81",2006,41,646,594
"82",2006,42,2398,1364
"83",2006,44,1331,583
"84",2006,45,577,706
"85",2006,46,48,0
"86",2006,47,203,328
"87",2006,48,2656,3428
"88",2006,49,1030,1104
"89",2006,50,0,0
"90",2006,51,3108,2082
"91",2006,53,785,448
"92",2006,54,0,91
"93",2006,55,19,249
"94",2007,1,298,66
"95",2007,2,35,0
"96",2007,4,543,398
"97",2007,5,57,0
"98",2007,6,11981,9628
"99",2007,8,589,336
"100",2007,9,7868,5710
"101",2007,10,326,119
"102",2007,11,472,500
"103",2007,12,28851,25048
"104",2007,13,5779,4261
"105",2007,15,68,283
"106",2007,16,116,127
"107",2007,17,1359,1500
"108",2007,18,714,526
"109",2007,19,0,0
"110",2007,20,138,124
"111",2007,21,481,505
"112",2007,22,3038,322
"113",2007,23,0,139
"114",2007,24,1683,2188
"115",2007,25,34588,17870
"116",2007,26,842,798
"117",2007,27,466,790
"118",2007,28,395,0
"119",2007,29,440,280
"120",2007,30,0,0
"121",2007,31,115,119
"122",2007,32,831,1252
"123",2007,33,116,1014
"124",2007,34,16691,11145
"125",2007,35,0,150
"126",2007,36,7727,8607
"127",2007,37,1238,501
"128",2007,38,0,0
"129",2007,39,230,769
"130",2007,40,124,157
"131",2007,41,552,324
"132",2007,42,3631,1427
"133",2007,44,143,901
"134",2007,45,552,644
"135",2007,47,213,213
"136",2007,48,2902,2872
"137",2007,49,706,1075
"138",2007,51,1149,1505
"139",2007,53,598,503
"140",2007,54,95,72
"141",2007,55,0,68
"142",2007,56,55,0
"143",2008,1,94,0
"144",2008,2,138,0
"145",2008,4,364,634
