"","year","state_code","widowed","divorced","separated","never_married_or_under_15_years_old"
"1",2005,1,0,0,0,578
"2",2005,2,0,0,0,0
"3",2005,4,0,165,0,77
"4",2005,5,0,0,0,116
"5",2005,6,1212,2047,1243,8476
"6",2005,8,0,0,0,456
"7",2005,9,0,826,0,5658
"8",2005,10,0,0,0,104
"9",2005,11,0,0,0,0
"10",2005,12,1027,7387,1752,18514
"11",2005,13,100,623,253,7298
"12",2005,15,0,73,0,212
"13",2005,16,0,0,0,82
"14",2005,17,0,692,83,814
"15",2005,18,0,124,0,341
"16",2005,19,0,0,0,0
"17",2005,20,0,0,0,221
"18",2005,21,0,0,0,0
"19",2005,22,0,211,0,110
"20",2005,23,0,393,0,545
"21",2005,24,0,265,351,3371
"22",2005,25,290,3895,1449,35465
"23",2005,26,0,0,0,745
"24",2005,27,0,0,0,203
"25",2005,28,0,0,0,142
"26",2005,29,0,20,0,715
"27",2005,30,0,0,0,0
"28",2005,32,101,64,0,316
"29",2005,33,0,83,0,919
"30",2005,34,958,1611,1025,13366
"31",2005,35,0,0,0,48
"32",2005,36,260,3105,519,11052
"33",2005,37,0,385,0,657
"34",2005,39,0,0,0,551
"35",2005,40,0,105,0,1127
"36",2005,41,0,80,0,120
"37",2005,42,93,426,150,1996
"38",2005,44,0,71,0,295
"39",2005,45,50,138,0,577
"40",2005,47,0,252,0,109
"41",2005,48,65,379,88,1741
"42",2005,49,0,79,0,562
"43",2005,51,49,1060,0,2111
"44",2005,53,0,71,0,1087
"45",2005,55,0,0,0,298
"46",2006,1,0,0,0,416
"47",2006,4,0,165,90,273
"48",2006,5,0,0,0,0
"49",2006,6,619,3081,365,7983
"50",2006,8,0,0,94,149
"51",2006,9,409,745,104,6574
"52",2006,10,0,0,141,223
"53",2006,11,0,63,0,191
"54",2006,12,601,7580,2198,21427
"55",2006,13,442,970,176,5783
"56",2006,15,0,0,0,134
"57",2006,16,0,0,0,0
"58",2006,17,126,440,0,2243
"59",2006,18,209,0,106,179
"60",2006,19,0,0,743,516
"61",2006,20,0,0,0,131
"62",2006,21,0,0,0,228
"63",2006,22,0,0,0,0
"64",2006,23,0,0,0,0
"65",2006,24,0,758,0,2878
"66",2006,25,642,5069,1209,30512
"67",2006,26,94,181,0,811
"68",2006,27,0,0,0,405
"69",2006,28,0,0,0,0
"70",2006,29,0,0,0,528
"71",2006,30,0,0,0,0
"72",2006,31,0,0,0,440
"73",2006,32,60,126,70,194
"74",2006,33,0,205,0,711
"75",2006,34,689,1285,916,14510
"76",2006,35,0,0,0,317
"77",2006,36,627,2561,866,6487
"78",2006,37,0,205,117,658
"79",2006,39,0,63,0,776
"80",2006,40,0,0,0,182
"81",2006,41,0,88,130,791
"82",2006,42,31,1031,0,1738
"83",2006,44,150,116,0,894
"84",2006,45,112,0,0,673
"85",2006,46,0,0,0,48
"86",2006,47,0,0,0,577
"87",2006,48,323,626,0,3445
"88",2006,49,0,300,0,557
"89",2006,50,69,0,0,39
"90",2006,51,48,400,109,2018
"91",2006,53,0,111,0,439
"92",2006,54,0,0,0,123
"93",2006,55,0,0,0,137
"94",2007,1,0,0,0,131
"95",2007,2,0,0,0,0
"96",2007,4,59,568,0,249
"97",2007,5,0,0,0,130
"98",2007,6,1289,4775,930,10269
"99",2007,8,0,264,0,320
"100",2007,9,0,1135,310,5886
"101",2007,10,0,0,0,343
"102",2007,11,152,328,0,726
"103",2007,12,2123,6578,3059,21544
"104",2007,13,267,360,0,5502
"105",2007,15,0,0,0,154
"106",2007,16,0,0,0,17
"107",2007,17,184,491,0,1183
"108",2007,18,0,379,0,543
"109",2007,19,0,0,0,152
"110",2007,20,138,0,0,267
"111",2007,21,0,0,390,113
"112",2007,22,0,0,46,2562
"113",2007,23,0,139,0,0
