"","year","state_code","population"
"1",2005,1,2030
"2",2005,2,88
"3",2005,4,1288
"4",2005,5,861
"5",2005,6,25111
"6",2005,8,1339
"7",2005,9,14021
"8",2005,10,296
"9",2005,11,443
"10",2005,12,57175
"11",2005,13,14326
"12",2005,15,1104
"13",2005,16,82
"14",2005,17,3537
"15",2005,18,904
"16",2005,19,428
"17",2005,20,479
"18",2005,21,63
"19",2005,22,407
"20",2005,23,2017
"21",2005,24,7510
"22",2005,25,88547
"23",2005,26,2159
"24",2005,27,877
"25",2005,28,375
"26",2005,29,1067
"27",2005,30,146
"28",2005,32,940
"29",2005,33,2627
"30",2005,34,33514
"31",2005,35,216
"32",2005,36,26003
"33",2005,37,2026
"34",2005,39,2588
"35",2005,40,3410
"36",2005,41,571
"37",2005,42,7019
"38",2005,44,1143
"39",2005,45,2339
"40",2005,47,1355
"41",2005,48,7921
"42",2005,49,2904
"43",2005,51,6471
"44",2005,53,2505
"45",2005,55,804
"46",2006,1,1370
"47",2006,4,1435
"48",2006,5,139
"49",2006,6,31903
"50",2006,8,1250
"51",2006,9,18264
"52",2006,10,612
"53",2006,11,460
"54",2006,12,66657
"55",2006,13,14295
"56",2006,15,488
"57",2006,16,161
"58",2006,17,5079
"59",2006,18,1499
"60",2006,19,1872
"61",2006,20,585
"62",2006,21,385
"63",2006,22,506
"64",2006,23,242
"65",2006,24,7135
"66",2006,25,75809
"67",2006,26,2845
"68",2006,27,1400
"69",2006,28,17
"70",2006,29,657
"71",2006,30,248
"72",2006,31,647
"73",2006,32,887
"74",2006,33,2180
"75",2006,34,38685
"76",2006,35,581
"77",2006,36,22317
"78",2006,37,3115
"79",2006,39,1894
"80",2006,40,530
"81",2006,41,1749
"82",2006,42,4746
"83",2006,44,2627
"84",2006,45,1966
"85",2006,46,48
"86",2006,47,953
"87",2006,48,11292
"88",2006,49,2867
"89",2006,50,108
"90",2006,51,7458
"91",2006,53,2282
"92",2006,54,279
"93",2006,55,453
"94",2007,1,510
"95",2007,2,156
"96",2007,4,1592
"97",2007,5,130
"98",2007,6,31886
"99",2007,8,1251
"100",2007,9,17859
"101",2007,10,683
"102",2007,11,1540
"103",2007,12,77123
"104",2007,13,13995
"105",2007,15,680
"106",2007,16,260
"107",2007,17,4221
"108",2007,18,1886
"109",2007,19,152
"110",2007,20,505
"111",2007,21,986
"112",2007,22,3360
"113",2007,23,139
"114",2007,24,6335
"115",2007,25,67903
"116",2007,26,2727
"117",2007,27,1595
"118",2007,28,664
"119",2007,29,1010
"120",2007,30,112
"121",2007,31,234
"122",2007,32,2826
"123",2007,33,1543
"124",2007,34,37336
"125",2007,35,221
"126",2007,36,24927
"127",2007,37,2838
"128",2007,38,69
"129",2007,39,1726
"130",2007,40,1098
"131",2007,41,1359
"132",2007,42,7349
"133",2007,44,1664
"134",2007,45,2658
"135",2007,47,526
"136",2007,48,10193
"137",2007,49,3021
"138",2007,51,3593
"139",2007,53,1655
