"","year","state_code","individuals_below_poverty","individuals_above_poverty","not_determined"
"1",2005,1,0,2030,0
"2",2005,2,0,88,0
"3",2005,4,419,869,0
"4",2005,5,0,861,0
"5",2005,6,3044,22067,0
"6",2005,8,474,865,0
"7",2005,9,1768,12253,0
"8",2005,10,104,192,0
"9",2005,11,0,443,0
"10",2005,12,8086,48744,345
"11",2005,13,3695,10631,0
"12",2005,15,0,1104,0
"13",2005,16,82,0,0
"14",2005,17,209,3328,0
"15",2005,18,0,904,0
"16",2005,19,0,428,0
"17",2005,20,221,258,0
"18",2005,21,0,63,0
"19",2005,22,55,352,0
"20",2005,23,0,2017,0
"21",2005,24,121,7389,0
"22",2005,25,8087,80460,0
"23",2005,26,104,2055,0
"24",2005,27,111,766,0
"25",2005,28,0,375,0
"26",2005,29,360,707,0
"27",2005,30,0,146,0
"28",2005,32,0,940,0
"29",2005,33,0,2627,0
"30",2005,34,4865,28542,107
"31",2005,35,48,168,0
"32",2005,36,1698,24305,0
"33",2005,37,123,1903,0
"34",2005,39,67,2521,0
"35",2005,40,0,3410,0
"36",2005,41,200,371,0
"37",2005,42,1403,5616,0
"38",2005,44,0,1143,0
"39",2005,45,144,2195,0
"40",2005,47,0,1355,0
"41",2005,48,543,7378,0
"42",2005,49,81,2823,0
"43",2005,51,286,6185,0
"44",2005,53,144,2361,0
"45",2005,55,42,762,0
"46",2006,1,0,1370,0
"47",2006,4,106,1329,0
"48",2006,5,0,139,0
"49",2006,6,3443,28460,0
"50",2006,8,93,1157,0
"51",2006,9,935,17244,85
"52",2006,10,0,612,0
"53",2006,11,0,358,102
"54",2006,12,7354,58510,793
"55",2006,13,2310,11947,38
"56",2006,15,185,303,0
"57",2006,16,0,161,0
"58",2006,17,839,3956,284
"59",2006,18,79,1420,0
"60",2006,19,756,1116,0
"61",2006,20,0,558,27
"62",2006,21,0,264,121
"63",2006,22,62,444,0
"64",2006,23,0,242,0
"65",2006,24,1376,5759,0
"66",2006,25,6845,68569,395
"67",2006,26,476,2038,331
"68",2006,27,242,889,269
"69",2006,28,0,17,0
"70",2006,29,0,657,0
"71",2006,30,0,248,0
"72",2006,31,38,609,0
"73",2006,32,59,828,0
"74",2006,33,0,2180,0
"75",2006,34,4449,34236,0
"76",2006,35,243,338,0
"77",2006,36,2011,20156,150
"78",2006,37,247,2868,0
"79",2006,39,0,1724,170
"80",2006,40,0,530,0
"81",2006,41,0,1749,0
"82",2006,42,773,3973,0
"83",2006,44,210,2417,0
"84",2006,45,189,1777,0
"85",2006,46,0,48,0
"86",2006,47,0,825,128
"87",2006,48,1616,9676,0
"88",2006,49,695,2172,0
"89",2006,50,108,0,0
"90",2006,51,956,6502,0
"91",2006,53,477,1805,0
"92",2006,54,0,156,123
"93",2006,55,0,316,137
"94",2007,1,113,397,0
"95",2007,2,0,156,0
