"","year","state_code","unemployed_males","unemployed_females"
"1",2005,1,0,0
"2",2005,2,0,0
"3",2005,4,0,0
"4",2005,5,0,0
"5",2005,6,187,956
"6",2005,8,0,0
"7",2005,9,498,0
"8",2005,10,0,0
"9",2005,11,0,0
"10",2005,12,699,1013
"11",2005,13,396,209
"12",2005,15,65,79
"13",2005,16,0,0
"14",2005,17,266,0
"15",2005,18,0,0
"16",2005,19,0,0
"17",2005,20,0,0
"18",2005,21,0,0
"19",2005,22,0,0
"20",2005,23,0,0
"21",2005,24,0,64
"22",2005,25,2616,1757
"23",2005,26,0,79
"24",2005,27,0,0
"25",2005,28,0,0
"26",2005,29,0,0
"27",2005,30,0,0
"28",2005,32,0,77
"29",2005,33,0,0
"30",2005,34,626,335
"31",2005,35,0,0
"32",2005,36,301,362
"33",2005,37,0,92
"34",2005,39,0,63
"35",2005,40,0,0
"36",2005,41,0,0
"37",2005,42,0,0
"38",2005,44,110,0
"39",2005,45,0,164
"40",2005,47,0,0
"41",2005,48,344,0
"42",2005,49,0,0
"43",2005,51,0,666
"44",2005,53,0,0
"45",2005,55,0,0
"46",2006,1,0,0
"47",2006,4,0,0
"48",2006,5,0,0
"49",2006,6,329,141
"50",2006,8,0,0
"51",2006,9,70,48
"52",2006,10,0,0
"53",2006,11,0,0
"54",2006,12,928,1434
"55",2006,13,136,110
"56",2006,15,0,0
"57",2006,16,0,0
"58",2006,17,198,0
"59",2006,18,0,0
"60",2006,19,379,0
"61",2006,20,0,0
"62",2006,21,0,0
"63",2006,22,0,0
"64",2006,23,0,0
"65",2006,24,84,0
"66",2006,25,1376,1066
"67",2006,26,235,192
"68",2006,27,0,0
"69",2006,28,0,0
"70",2006,29,92,122
"71",2006,30,0,0
"72",2006,31,0,0
"73",2006,32,0,0
"74",2006,33,0,0
"75",2006,34,1058,1068
"76",2006,35,0,0
"77",2006,36,396,335
"78",2006,37,100,0
"79",2006,39,0,109
"80",2006,40,0,0
"81",2006,41,0,0
"82",2006,42,0,0
"83",2006,44,0,0
"84",2006,45,0,0
"85",2006,46,0,0
"86",2006,47,0,0
"87",2006,48,275,154
"88",2006,49,0,152
"89",2006,50,0,0
"90",2006,51,69,0
"91",2006,53,0,0
"92",2006,54,0,91
"93",2006,55,0,0
"94",2007,1,0,0
"95",2007,2,0,0
"96",2007,4,0,147
"97",2007,5,0,0
"98",2007,6,623,407
"99",2007,8,0,0
"100",2007,9,78,269
"101",2007,10,0,0
"102",2007,11,0,0
"103",2007,12,752,1394
"104",2007,13,0,0
"105",2007,15,68,0
"106",2007,16,0,0
"107",2007,17,198,105
"108",2007,18,0,121
"109",2007,19,0,0
"110",2007,20,0,0
"111",2007,21,0,0
"112",2007,22,0,0
"113",2007,23,0,0
"114",2007,24,65,0
"115",2007,25,1200,784
"116",2007,26,0,291
"117",2007,27,0,0
"118",2007,28,0,0
"119",2007,29,0,114
"120",2007,30,0,0
"121",2007,31,0,0
"122",2007,32,0,0
"123",2007,33,0,0
"124",2007,34,1363,194
"125",2007,35,0,0
"126",2007,36,306,425
"127",2007,37,175,0
"128",2007,38,0,0
"129",2007,39,0,119
"130",2007,40,0,0
"131",2007,41,0,0
"132",2007,42,0,362
"133",2007,44,0,0
"134",2007,45,0,0
"135",2007,47,0,0
"136",2007,48,145,228
"137",2007,49,0,0
"138",2007,51,0,0
"139",2007,53,0,0
"140",2007,54,0,0
"141",2007,55,0,0
"142",2007,56,0,0
"143",2008,1,0,0
"144",2008,2,0,0
"145",2008,4,0,0
"146",2008,5,0,72
"147",2008,6,584,656
"148",2008,8,0,0
"149",2008,9,186,265
"150",2008,11,167,0
"151",2008,12,943,454
"152",2008,13,61,72
"153",2008,15,46,0
"154",2008,16,0,199
"155",2008,17,0,96
"156",2008,18,0,0
"157",2008,19,0,85
"158",2008,20,0,0
"159",2008,21,0,0
"160",2008,22,0,0
"161",2008,23,0,0
"162",2008,24,108,0
"163",2008,25,1171,1512
